bow; Head: lowers forward; Hand: hangs at sides; Arm: relaxed downward; Hip: bends deeply; Leg: straightens knees; Foot: together flat.
kicking other person; Head: locks on target; Hand: fists clenched; Arm: pulls back for balance; Hip: twists sharply; Leg: swings from hip; Foot: snaps heel-first.
kicking something; Head: tilts downward; Hand: may balance body; Arm: swings for balance; Hip: rotates forward; Leg: extends outward; Foot: strikes object.
make a phone call/answer phone; Head: tilts to shoulder; Hand: holds phone to ear; Arm: bends at elbow; Hip: remains stable; Leg: supports body; Foot: flat on ground.
pat on back of other person; Head: turns toward person; Hand: opens flat; Arm: swings upward; Hip: rotates toward; Leg: steps closer; Foot: shifts weight forward.
pickup; Head: lowers toward object; Hand: grasps item; Arm: pulls upward; Hip: straightens from bend; Leg: pushes body up; Foot: presses flat on ground.
playing with phone/tablet; Head: tilts downward; Hand: taps swipes pinches; Arm: holds device steady; Hip: remains seated; Leg: relaxed in seat; Foot: rests on floor.
point finger at the other person; Head: locks on target; Hand: jabs index forward; Arm: shoots straight out; Hip: thrusts toward person; Leg: steps weight forward; Foot: plants firmly ahead.
pointing to something with finger; Head: turns toward target; Hand: extends index finger; Arm: stretches straight; Hip: remains stable; Leg: supports body; Foot: flat on ground.
punching/slapping other person; Head: locks on target; Hand: balls into fist or opens flat; Arm: snaps forward explosively; Hip: twists toward person; Leg: drives weight ahead; Foot: pivots on ball.
pushing other person; Head: locks forward; Hand: palms flat on chest; Arm: snaps straight; Hip: drives hard forward; Leg: lunges weight ahead; Foot: plants and shoves off.
put on a hat/cap; Head: tilts slightly forward; Hand: holds hat; Arm: lifts above head; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
put something inside pocket; Head: tilts downward; Hand: holds object and inserts; Arm: bends at elbow; Hip: remains stable; Leg: supports body; Foot: flat on ground.
reading; Head: tilts downward; Hand: holds book or device; Arm: supports at chest level; Hip: remains seated; Leg: relaxed in seat; Foot: rests on floor.
rub two hands together; Head: tilts downward; Hand: presses and slides; Arm: circles in front; Hip: remains stable; Leg: supports body; Foot: flat on ground.
salute; Head: faces straight; Hand: fingers extended together; Arm: raises bent 90 degrees; Hip: remains stable; Leg: stands at attention; Foot: heels together.
sitting down; Head: stays level; Hand: guides to seat; Arm: bends at elbow; Hip: folds backward; Leg: bends at knee; Foot: slides flat back.
standing up; Head: remains level; Hand: pushes on thighs or chair; Arm: extends downward; Hip: unfolds forward; Leg: straightens at knee; Foot: presses flat into ground.
take off a hat/cap; Head: tilts slightly forward; Hand: grasps brim; Arm: lifts upward; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
take off glasses; Head: tilts slightly forward; Hand: grasps frames; Arm: pulls forward; Hip: remains stable; Leg: supports body; Foot: flat on ground.
take off jacket; Head: remains level; Hand: pulls sleeve off; Arm: withdraws from sleeve; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
take out something from pocket; Head: tilts downward; Hand: reaches in and grasps; Arm: bends then straightens; Hip: remains stable; Leg: supports body; Foot: flat on ground.
taking a selfie; Head: tilts for best angle; Hand: grips phone; Arm: stretches out front; Hip: leans back slightly; Leg: shifts weight to one side; Foot: plants wide for balance.
tear up paper; Head: tilts downward; Hand: grips and pulls apart; Arm: extends outward; Hip: remains stable; Leg: supports body; Foot: flat on ground.
throw; Head: turns toward target; Hand: grips then releases; Arm: swings forward; Hip: rotates forward; Leg: steps forward; Foot: pivots on ground.
touch back (backache); Head: tilts forward; Hand: presses lower back; Arm: reaches behind; Hip: arches slightly; Leg: shifts weight; Foot: widens stance.
touch chest (stomachache/heart pain); Head: tilts forward; Hand: clutches upper abdomen or chest; Arm: presses inward; Hip: hunches slightly; Leg: locks knees; Foot: planted wide.
touch head (headache)touch head (headache); Head: pressed or cradled; Hand: rubs temples; Arm: bends to head; Hip: remains stable; Leg: supports body; Foot: flat on ground.touch neck (neckache)
touch neck (neckache); Head: tilts stiffly; Hand: rubs sore spot; Arm: reaches behind head; Hip: remains stable; Leg: supports body; Foot: flat on ground.
typing on a keyboard; Head: tilts downward; Hand: fingers press keys; Arm: rests on desk; Hip: remains seated; Leg: relaxed in seat; Foot: rests on floor.
use a fan (with hand or paper)/feeling warm; Head: tilts back slightly; Hand: waves fan rapidly; Arm: flaps front of face; Hip: remains stable; Leg: supports body; Foot: flat on ground.
wear jacket; Head: lowers briefly; Hand: inserts into sleeve; Arm: threads through sleeve; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
wear on glasses; Head: tilts slightly forward; Hand: holds frames; Arm: lifts to face; Hip: remains stable; Leg: supports body; Foot: flat on ground.
wipe face; Head: tilts slightly; Hand: holds cloth or palm; Arm: sweeps across face; Hip: remains stable; Leg: supports body; Foot: flat on ground.
writing; Head: tilts downward; Hand: grips pen; Arm: moves across paper; Hip: remains seated; Leg: relaxed in seat; Foot: rests on floor.
